event_date,revenue
2022-03-31,101683.85
2022-04-01,865478.6
2022-04-02,913101.53
2022-04-03,1011763.38
2022-04-04,882059.17
2022-04-05,950544.05
2022-04-06,886985.26
2022-04-07,909899.35
2022-04-08,1018617.61
2022-04-09,972076.48
2022-04-10,1075234.03
2022-04-11,949559.27
2022-04-12,887194.03
2022-04-13,977017.3
2022-04-14,1113487.56
2022-04-15,1024542.13
2022-04-16,1010056.23
2022-04-17,940843.9
2022-04-18,885403.46
2022-04-19,960055.36
2022-04-20,1091926.41
2022-04-21,971966.58
2022-04-22,978033.62
2022-04-23,1093536.62
2022-04-24,1082483.95
2022-04-25,977764.88
2022-04-26,910749.81
2022-04-27,850676.58
2022-04-28,838362.09
2022-04-29,839654.65
2022-04-30,969634.43
2022-05-01,1079957.52
2022-05-02,1172327.06
2022-05-03,1189200.59
2022-05-04,1209364.17
2022-05-05,894704.17
2022-05-06,909530.13
2022-05-07,911693.76
2022-05-08,902173.06
2022-05-09,810945.89
2022-05-10,723616.88
2022-05-11,740395.52
2022-05-12,693445.93
2022-05-13,736609.76
2022-05-14,768171.9
2022-05-15,894645.67
2022-05-16,763146.91
2022-05-17,764918.63
2022-05-18,797542.08
2022-05-19,778026.25
2022-05-20,704908.01
2022-05-21,697790.62
2022-05-22,777552.83
2022-05-23,755930.56
2022-05-24,759458.39
2022-05-25,819478.34
2022-05-26,767619.6
2022-05-27,813334.57
2022-05-28,850986.6
2022-05-29,816996.49
2022-05-30,817463.77
2022-05-31,903069.09
2022-06-01,935430.21
2022-06-02,896672.82
2022-06-03,738190.19
2022-06-04,892476.1
2022-06-05,989093.03
2022-06-06,955276.13
2022-06-07,965557.26
2022-06-08,965472.09
2022-06-09,959183.09
2022-06-10,798796.94
2022-06-11,863796.34
2022-06-12,955246.82
2022-06-13,877674.46
2022-06-14,899234.01
2022-06-15,785089.32
2022-06-16,778813.5
2022-06-17,747349.1
2022-06-18,741802.38
2022-06-19,729840.6
2022-06-20,756764.91
2022-06-21,804470.44
2022-06-22,777752.31
2022-06-23,654729.48
2022-06-24,630349.29
2022-06-25,654234.58
2022-06-26,773610.02
2022-06-27,714124.67
2022-06-28,772085.53
2022-06-29,411530.76
